"﻿""Submission Date""",Age range,English level,"Do you have a technical background (science, engineering, etc.)?","Do you have any musical training or studies (tutor, school, conservatory,...)?",How often do you play music?,"Do you record music casually no matter the format (voice notes, demos, etc.)?","Are you <strong>involved</strong> <strong>with others</strong>, or collaborate, <strong>in music recording sometimes</strong>?",What tools or setup do you normally use to record yourself?,Are you familiar with recording in multitrack format?,Do you know what a Digital Audio Workstation (DAW) is?,Have you ever used a Digital Audio Workstation (DAW)?,Which <strong>DAWs or equivalent software for making music</strong> have you used?,Which DAWs have you used?,Which musical instruments do you play and what level?,Which musical instruments do you play and what level?,Can you play using a metronome?,Do you compose/write songs?,"Do you play or rehearse with others (band, ensemble, orchestra, etc.)?",What sort of music do you enjoy playing/recording?,What sort of music do you enjoy playing/recording?,What <strong>device</strong> did you use <strong>to perform the tasks</strong>?,Device model?,Which Operating System?,Operating System version?,Which web browser ?,Browser version?,"<strong>For audio input, or recording, during the test, </strong>which <strong>hardware or equipment</strong> did you use?",What headphones or earphones?,How much time did it take to you to perform all the tasks?,Is it the first time you use or interact with Hi-Audio Online Platform?,Did you need external support to accomplish any of the tasks?,Were there any task/s you didn't know how to complete or did not finish due to lack of information or technical issues? Explain them please,Do you know what is the (round-trip) latency for an audio digital recording and how can it affect you?,Have you ever measured the latency in an audio system before?,Did you use the <strong>platform’s Metronome</strong> feature to make your <strong>recording for Task 2</strong>?,What time signature did you use in case of recording with the metronome?,What <strong>time signature</strong> and <strong>BPM </strong>did you use in case of recording with the metronome?,Did you upload a <strong>guide track</strong> for the recording of <strong>Task 2</strong>?,Which <strong>composition/s</strong> did you record for <strong>Task 2</strong>?,Which <strong>composition/s</strong> did you record for <strong>Task 2</strong>?,Did you explore the interface outside the options related to the tasks?,"Do you have any other comments, feedback or suggestion related to the Hi-Audio Online Platform?",1. I think that I would like to use this system frequently,2. I found the system unnecessarily complex,3. I thought the system was easy to use,4. I think I would need the support of a technical person to use this system,5. I found the various functions were well integrated,6. I thought there was too much inconsistency in this system,7. I would imagine that most people would learn to use this system very quickly,8. I found the system very cumbersome to use,9. I felt very confident using the system,10. I needed to learn a lot of things before I could get going with this system,"Mental Demand (0 = Low, 100 = High)","Physical Demand (0 = Low, 100 = High)","Temporal Demand (0 = Low, 100 = High)","Own Performance (0 = Low, 100 = High)","Effort (0 = Low, 100 = High)","Frustration Level (0 = Low, 100 = High)",Submission ID (anonymized),Consent and Ethical Notice
"Dec 22, 2025",18-25,C1 Advanced,YES,YES,Weekly,,YES,I have a looper for my guitar that allows to export the audio files and i register voice with my phone,,,YES,"Software/Tool name: audacity
Software/Tool name: cubase
",,,"Instrument: Guitar, Level: 3
Instrument: Piano, Level: 1
",YES,YES,NO,"Type of music: Jazz
Type of music: rock
Type of music: pop
Type of music: punk
Type of music: metal
Type of music: grunge
Type of music: shoegaze
",,Laptop,MSI Sword 16HxB14V,Windows,windows 11,Chromium/Chrome,Chrome 143.0.7499.148,laptop built in mic,"old spirit of gamer headset, cant find the serial reference",Between 30 and 40 minutes,YES,NO,,YES,NO,NO,,,NO,"Composition title: Clementine - Elliott Smith
",,YES,i couldnt find a way to splice or delete a certain part of the audio (tho you can select a precise part). I thus needed to record something all over again,2,1,4,1,2,1,4,3,3,2,30,20,20,80,30,30,6421684511428984688,Accepted
"Dec 21, 2025",18-25,C1 Advanced,YES,YES,Weekly,,NO,"I don't record myself, and if I do it's just to give to other players so we can practice separately. Then I use the microphone on my phone",,,NO,,,,"Instrument: Sing, Level: 3
",YES,NO,YES,"Type of music: Classical
Type of music: Pop
",,Laptop,HP Laptop,Windows,Windows 11,Microsoft Edge,143.0.3650.75,built-in microphone,none,Between 30 and 40 minutes,YES,NO,It took me a long time to understand that I was supposed to record the happy birthday song twice.,NO,NO,NO,,,NO,"Composition title: au clair de la Lune
",,NO,,3,2,4,1,4,2,4,2,4,1,17,4,21,82,18,15,6421404144652090461,Accepted
"Dec 21, 2025",41-55,Prefer not to answer,NO,NO,Rarely or never,,NO,,,,NO,,,,"Instrument: chant, Level: 1
",NO,NO,NO,"Type of music: rock
",,Laptop,asus vivobook,Windows,windows 11,Chromium/Chrome,chrome 138,laptop built-in microphone,son ordi,Between 40 and 60 minutes,YES,YES,,YES,NO,YES,,,YES,"Composition title: au clair de la lune
",,YES,,1,5,2,5,1,3,4,5,1,5,73,45,11,11,12,9,6421275260197236995,Accepted
"Dec 21, 2025",18-25,C2 Proficiency,YES,YES,Weekly,,YES,"Phone, recording studio in our club (FL studio)",,,YES,"Software/Tool name: FL studio is the only one I’ve used 
",,,"Instrument: Drums , Level: 2
Instrument: Sing, Level: 4
",YES,NO,YES,"Type of music: Jazz, pop, rock, rnb 
",,Laptop,Asus Zenbook,Windows,Windows 11,Chromium/Chrome,Chrome 138,Laptop built in microphone,No headphones,Between 20 and 30 minutes,YES,NO,"First task wasn’t clear for me, since my instrument was singing, I didnt understand if I had to sing happy birthday twice (first time in the page where we pop after the first registration and the second after cloning a template). In doubt I sang it twice",NO,NO,NO,,"Time signature: 4/4, BPM: 97
",YES,"Composition title: R U Mine backtrack 
",,NO,It wasn’t very clear to me how the compositions were grouped in the collections.,3,2,3,2,3,2,1,3,2,1,90,1,37,75,72,59,6421178822523703074,Accepted
"Dec 20, 2025",18-25,C2 Proficiency,YES,YES,Weekly,,YES,Recording app on the mobile phone,,,NO,,,,"Instrument: Piano, Level: 4
Instrument: Bass guitar , Level: 2
Instrument: Guitar, Level: 2
Instrument: Ukulele, Level: 1
",YES,NO,YES,"Type of music: Pop covers
Type of music: Rock covers
Type of music: Classical pieces
",,Laptop,HP Spectre x360,Windows,Windows 11,Chromium/Chrome,Chrome 143,laptop built-in microphone,Marhsall Major IV,Between 30 and 40 minutes,YES,NO,I did not have the existing composition mentioned in Task 1 so I created my own. I didn't know which collection to choose for the second part of Task 1,NO,NO,YES,,"Time signature: 3/4, BPM: 90
",NO,"Composition title: Waltz of the Flowers from The Nutcracker
",,NO,The menu buttons are not very intuitive. It's hard to navigate on the platform. The recording part is very intuitive and easy to manage.,3,4,2,3,2,4,1,5,2,3,59,0,50,91,66,92,6420720104814184671,Accepted
"Dec 20, 2025",18-25,B2 Upper intermediate,YES,YES,Weekly,,NO,"I don't really record myself, but for the few times i did it was just with my phone",,,NO,,,,"Instrument: cello, Level: 4
",YES,NO,YES,"Type of music: classical
",,Desktop,custom build,Windows,windows 11,Chromium/Chrome,chrome 140,headset,hyperX cloud3,Between 30 and 40 minutes,YES,NO,,NO,NO,YES,,"Time signature: , BPM: 60
",NO,"Composition title: Elgar cello concerto
",,YES,,3,2,3,2,3,1,2,1,4,1,26,11,16,33,14,2,6420655997663445267,Accepted
"Dec 20, 2025",18-25,B2 Upper intermediate,NO,YES,Few times per year,,NO,,,,NO,,,,"Instrument: Flûte , Level: 4
",YES,NO,YES,"Type of music: Classical music
",,Laptop,Hp,Windows,Windows 10,Chromium/Chrome,Chrome,Laptop built-in microphone,No headphone,Between 40 and 60 minutes,YES,YES,"I don't find how modifie the description.

The place where are the buttons is not instinctive and natural. For exemple the clone's button in the top right hand corner.

(Then I don't find the colour of buttons always instinctive)",NO,NO,YES,,"Time signature: 1/4, BPM: 60
",NO,"Composition title: Sonate de Bach
",,NO,,2,2,4,4,2,2,4,2,1,4,83,0,28,0,75,80,6420550821525052209,Accepted
"Dec 20, 2025",18-25,C1 Advanced,YES,YES,Weekly,,YES,mobile phone,,,NO,,,,"Instrument: flute , Level: 4
Instrument: piano, Level: 3
",YES,NO,YES,"Type of music: classic
Type of music: jazz
Type of music: any song
",,Laptop,Dell,Windows,Windows 10,Chromium/Chrome,Chrome 138,airpods,Airpods,Between 40 and 60 minutes,YES,NO,,NO,NO,YES,,"Time signature: 1/4, BPM: 72
",NO,"Composition title: Valse des fleurs
",,NO,,4,1,3,1,5,1,4,3,2,1,65,0,79,100,21,55,6420494692118337517,Accepted
"Dec 20, 2025",18-25,C1 Advanced,YES,YES,Weekly,,YES,"We don't record ourselves, the only records we get are from concerts",,,NO,"Software/Tool name: Audacity
",,,"Instrument: Electric guitar, Level: 3
",YES,YES,YES,"Type of music: Rock
Type of music: Hard rock 
Type of music: Metal
",,Laptop,Asus rog (unsure),Windows,Windows 11,Other,Brave x,Laptop built in microphone,Bluetooth buds,Between 30 and 40 minutes,YES,NO,,YES,NO,YES,,,NO,"Composition title: au clair de la lune
",,YES,"Sometimes it is a bit weird, I also did it with my mom and she was very lost, I had to help her. It would be nice to have time signature somewhere to make it easier when we shift a track",1,2,3,2,4,2,1,1,4,4,81,38,16,16,55,45,6420480828325347605,Accepted
"Dec 20, 2025",18-25,B2 Upper intermediate,YES,YES,Weekly,,NO,I use GarageBand on my computer when I want to edit my recordings,,,NO,,,,"Instrument: Trumpet, Level: 4
",YES,NO,YES,"Type of music: Classical music
Type of music: Movies 
Type of music: Brass band 
Type of music: Pop
",,Laptop,MacBook Air M1,macOS,Séquoia 15.6.1,Safari,I don't know,Internal microphone,Sony WH-100-XM4,Between 30 and 40 minutes,YES,NO,"The cloning of the project was difficult.

I wanted to cut or edit my recordings but I couldn't.",NO,YES,YES,,"Time signature: 4/4, BPM: 122
",NO,"Composition title: The start of the 4th movement of the 9th symphony of Dvorak
",,YES,I would have loved to be able to use space to play or other keys in the interface. It would have felt more natural,3,1,3,2,4,2,5,3,4,3,37,7,60,11,19,46,6420455651028514320,Accepted
